phrasal	meaning	significado	phrase	frase
go without		gerenciar ou conduzir ou se virar sem alguma coisa	We had to go without water for a week after a pipe burst.	
grow on		quando alguém começa a gostar de algo	I didn't like this book at first, but it is growing on me.	
grow on		se tornar mais provável	This new record is growing on me.	
grow up		crescer	Your son is growing up so fast!	Seu filho está crescendo tão rápido!
hang around		gastar tempo sem fazer nada	There were several teenagers hanging around at the end of the street.	
hang on		espere um momento		
hang onto		manter	I'm going to hang onto this painting.	
hang onto		manter	I think we should hang onto the car until next year.	
hang out		frequentar um lugar; sair com amigos	I work a lot and can't hang out with my friends.	Eu trabalho muito e não posso sair com meus amigos.
hang out		gastar tempo sem fazer nada em particular		
hang up		desligar o telefone	I have something to tell you, please don't hang up.	Eu tenho uma coisa para te contar, por favor não desligue.
have got it in for		ser propositalmente cruel com alguém	My boss is always telling me off. He's got it in for me.	Meu chefe está sempre me repreendendo. Ele é cruel comigo.
have got it in for		ser rude de forma proposital	my teacher has got it in for me.	
have it in for		ser rude de forma proposital	my teacher has it in for me.	
have it out with		expressar sentimentos para resolver um problema	I put up with the problem for a while but in the end I had it out with her.	
have on		enganar	I don't believe you. You're having me on.	
hit it off		se dar bem com alguém	I don't really hit it off with my new neighbour.	
hit it off		se dar bem com	Mark and Sarah really hit it off at the party.	
hit on		encontrar por acaso, ter uma ideia	We hit on the answer to the problem completely by chance.	
hit on		descobrir uma solução por acaso	They hit on the solution quite by chance.	
hit upon		encontrar por acaso, ter uma ideia	We hit upon the answer to the problem completely by chance.	
hit upon		descobrir por acaso	They hit upon the solution quite by chance.	
hold off		adiar algo; manter alguém afastado	We should hold off making decisions now.	Nós devemos adiar tomar decisões agora.
hold off		parar ou segurar um ataque; evitar uma derrota	How much longer will the resistance fighters be able to hold off the enemy?	Quanto tempo mais os combatentes da resistência serão capazes de segurar o inimigo?
hold off		resistir um ataque ou desafio	he held off a late challenge to win by thirteen seconds	ele segurou um desafio tardio para vencer por treze segundos
hold off		manter um atacante, força de um ataque a distância	holding off a tremendous challenge	segurando um tremendo desafio
hold off		esperar um tempo antes de fazer algo	Let's hold off placing the order until we've got more information.	Vamos adiar a encomenda até termos mais informações.
hold on		aguentar; segurar firme; esperar	Hold on a minute, he'll be right back.	Espere um minuto, ele já volta.
hold on		aguardar	Hold on a second, please. I'll be right back!	Aguarde um segundo, por favor. Eu já volto.
hold on		manter, guardar algo para alguém		
hold out		oferecer, especialmente com esperança	We don't hold out much hope that the price will fall.	
hold out		sobreviver, suportar		
hold up		atraso,tardar	Sorry I'm late, I was held up in the traffic.	
hold up		esperar ou aguardar		
hold with		concordar com	I don't hold with the idea of people borrowing more than they can afford.	
hold with		concordar com	I don't hold with the idea of using force.	
impose on		forçar a pessoa a aceitar algo	It's wrong that some people should impose their viewpoint on everyone else.	
keep away		prevenir de vir		
keep to		manter o que foi prometido ou acordado	Make sure you keep to the deadline.	
keep to		permancer numa rota, estrada, etc	It's best to keep to the paths.	
keep to		manter algo para você mesmo, não contar a ninguém	I'd appreciate it if you kept it to yourself.	
keep up		continuar	Well done! Keep up the good work!	
keep up		ficar empatado ou a frente		
kick off		iniciar, lançamento		
kick out		parar, emperrar, ou desconectar repentinamente		
knock out		exausto		
lay down		colocar algo sobre uma superfície; repousar; desarmar-se	Lay down your weapons.	Abaixem suas armas.
lay down		declarar uma regra formal	In the constitution it is laid down that all accused are innocent until proved guilty.	
lay down		declare uma regra	The company has laid down strict procedures for this kind of situation.	
lay down		colocar algo para baixo ou parar de usá-lo		
lay off		demitir alguém; parar com alguma coisa; deixar em paz	My father was laid off last month.	Meu pai foi demitido mês passado.
let down		decepcionar alguém; desanimar; soltar algo para baixo	I can't let my son down.	Eu não posso decepcionar meu filho.
let down		desapontar	Jim was supposed to help me yesterday, but he let me down.	
let down		desapontar, quebrar uma promessa	Sorry to let you down, but I can't give you a lift today.	
let down		permitir descer		
let in on		dizer a alguém um segredo	Don't let Helen in on any secrets, because she'll tell everyone.	
let in on		permitir fazer parte de um segredo	We haven't let Tina in on the plans yet.	
let off		não punir	Luckily the police let Maria off with a warning, and didn't give her a fine.	
let off		escapar de punição	As Dave was young, the judge let him off with a fine.	
let on		contar um segredo	Don't let on that I told you about Mike's surprise party.	
let on		informar sobre um segredo	We're planning a surprise for Helen, but don't let on.	
let out		liberar		
let out		divulgar		
live down		sofrer uma perda de reputação	If Castle lose, they'll never live it down.	
live up to		alcançar um padrão esperado	My holiday in China certainly lived up to my expectations. It was fantastic.	
live up to		alcançar um padrão de esperado	The play quite lived up to my expectations.	
look after		tomar conta; cuidar	She'll help me look after my mom.	Ela vai me ajudar a cuidar da minha mãe.
look after		cuidar; tomar conta	We look after the neighbours' cat while they're away.	Cuidamos do gato dos vizinhos enquanto eles estão fora.
look after		vigiar ou proteger		
look around		pesquisar um local		
look at		olhar para, considerando, estudando, pensando sobre	The company is looking at ways to reduce waste.	A empresa está buscando maneiras de reduzir o desperdício.
look at		considerar		
look down on		menosprezar, desfazer-se de alguém, considerar inferior, olhar com superioridade	She looks down on her husband's relations.	Ela despreza os parentes do marido.
look for		procurar	He's been looking for his car keys for over an hour!	Ele tem estado a procurar as chaves do carro por mais de uma hora!
look for		procurar	I've been looking for that book everywhere.	Estou procurando esse livro em todos os lugares.
look for		pesquisar por, procurar		
look forward		aguardar ansiosamente	We are looking forward to meeting you.	Estamos ansiosos por encontrar você.
look forward to (something)		aguardar ansiosamente por algo	I'm really looking forward to seeing you again.	Estou muito ansioso para te ver outra vez.
look into		investigar, examinar, analisar	He asked his lawyer to look into the matter.	Ele pediu a seu advogado para examinar o assunto.
look into		investigar	The airline is looking into my complaint about my missing baggage.	
look into		investigar	The police have promised to look into the problem.	
look into		investigar, explorar, considerar		
look on		considerar	George looked on his new job as an opportunity to prove himself.	
look on		considerar	We look on this town as our real home.	
look out		ficar alerta; tomar cuidado	Look out for snakes in the park.	Cuidado com as cobras no parque.
look out		cuidado!	Look out! There's a car coming!	Olhe! Tem um carro chegando!
look out		olhar de dentro para fora		
look over		examinar, inspecionar	She asked a friend to look over her paper.	Ela pediu a uma amiga para dar uma olhada em seu trabalho.
look up		pesquisar; melhorar	I don't know how to write it, let's look it up in the dictionary.	Eu não sei como escrever isso, vamos procurar no dicionário.
look up		melhorar	In the finance sector things are looking up.	No setor financeiro, as coisas estão melhorando.
look up		pesquisar	I looked up solar power on the Internet to find out more about it.	Procurei energia solar na internet para saber mais sobre isso.
look up		visitar	Look me up the next time you're in Los Angeles.	Procure-me da próxima vez que fores a Los Angeles.
look up		procurar informação em livro, revista, dicionário	Look it up in a dictionary.	Procure em um dicionário.
look up		visitar	Why don't you look us up the next time you're in London.	
look up		melhorar	Since we won the lottery, things have definitely been looking up for us!	
look up		visitar quando está por perto	If you're passing through Athens, look me up.	
look up		ter melhores perspectivas, melhorar		
look up to		admirar	The students look up to good teachers.	Os alunos admiram bons professores.
look up to (somebody)		admirar, respeitar alguém	Be nice to him. He looks up to you.	Seja legal com ele. Ele admira você.
look upon		considerar	George looked upon his new job as an opportunity to prove himself.	
make after		perseguir		
make for		resultar em	The new stainless steel body makes for easier cleaning.	O novo corpo em aço inoxidável resulta em uma limpeza mais fácil.
make for		resultar em	The power steering makes for easier parking.	
make into		transformar	We made the spare room into an office.	Transformamos o quarto de hóspedes em um escritório.
make off		fugir, escapar, roubar	They made off with his cell phone and some cash.	Eles roubaram o telefone celular dele e um pouco de dinheiro.
make off with		roubar	While my back was turned, someone made off with my suitcase.	
make off with		fugir com	The thief made off with a valuable necklace.	
make out		entender, captar com dificuldade; preencher cheque	Could you make out what he said?	Você conseguiu entender o que ele disse?
make out		namorar	kids making out in their cars	jovens namorando em seus carros
make out		fingir, inventar	He made out that he was older than me.	Ele inventou que era mais velho que eu.
make out		fingir	When the security guard challenged him, the man made out that he was a customer.	
make out		conseguir ver, ouvir, entender, etc	I could just make out some writing across the top of the door.	Eu poderia apenas distinguir alguma coisa escrita no topo da porta.
make out		entender o comportamento de alguém	David is a strange boy! I just can't make him out!	David é um menino estranho! Eu simplesmente não consigo entendê-lo!
make out		fingir	Tim made out that he hadn't seen the No Smoking sign.	
make out		conseguir ver, ou conseguir entender	I couldn't quite make out what the notice said.	
make out		entender o comportamento de alguém	Janet is really odd. I can't make her out.	
make out		gerenciar, se dar bem		
make towards		seguir em direção à		
make up		criar; inventar; construir; fazer as pazes	He loves to make up stories.	Ele adora inventar histórias.
make up		inventar, criar uma história, explicação; maquiar; fazer as pazes	I put on a little eye make-up.	Coloquei um pouco de maquiagem na região dos olhos.
make up		maquiagem	She wears a lot of make-up.	Ela usa muita maquiagem.
make up		inventar	She made up some story about getting lost.	Ela inventou uma história sobre ter se perdido.
make up		constituir	Hispanics make up more than 50% of the population.	Hispânicos constituem mais de 50% da população.
make up		compensar	You have to make up the work you missed.	Você precisa compensar pelo trabalho que perdeu.
make up		fazer as pazes	I wish the two of them would just make up.	Eu queria que os dois fizessem as pazes.
make up		inventar	It turned out that Joe had made up the whole story, and wasn't a journalist at all.	
make up		inventar	I think you made up the whole story!	
make up		aplicar cosméticos ou maquiagem		
make up		compensar, preencher ou alcançar		
make up for		compensar	Joe's silver medal in the 200 metres made up for his disappointment in the 100 metres	
mess up		fazer uma bagunça		
miss out		perder chances de fazer algo que gosta	Some children miss out because their parents can't afford to pay for school trips.	
miss out		fracassar em incluir	You have missed out a word here.	
miss out		perder a chance	Five people got promoted, but I missed out again.	
move on		deixar um lugar para ir a outro lugar		
own up		admitir	When the teacher asked the class who had started the fire, Chris owned up.	
own up		confessar	None of the children would own up to breaking the window.	
pack in		parar	Sue decided to pack in her job and travel abroad for a while.	
pack in		parar uma atividade	John has packed in his job.	
pass away		morrer		
pass by		viajar sem paradas, passar sem parar		
pass off		acontecer		
pass out		distribuir		
pay back		se vingar	I'll pay him back for all the rude things he's said about me!	
pay back		se vingar	She paid him back for all his insults.	
pay off		valer a pena; pagar	I need more money to pay off my friend.	Eu preciso de mais dinheiro para pagar meu amigo.
pick out		distinguir		
pick up		buscar	He loves to pick up his grandson at school.	Ele adora buscar o neto dele na escola.
pick up		melhorar	A lot of people think that the economy is picking up again after a slack period.	
pick up		melhorar	The weather seems to be picking up.	
pick up		levantar, aguarrar e levantar		
pin down		forçar alguém a tomar uma decisão	He says he'll call round and do the job, but I can't pin him down to an exact date.	Ele diz que vai fazer uma visita e fazer o trabalho, mas não consigo definir uma data exata.
pin down		forçar a resposta de alguém	I asked Jim to name a suitable day, but I couldn't pin him down.	
pin down		prender ou fixar algo com pinos ou pregos	Pin the pattern down temporarily.	
pin down		determinar ou fixar uma data, um compromisso, uma decisão	It will be ready sometime next month. I can't pin the date down just yet, however. I can't pin down the exact date just now.	
pin down		forçar alguém a dar informações precisas ou a opinião dela	The reporter pinned down the governor on the issue of conservation measures.	O repórter tirou na insistência informações do governador sobre a questão das medidas de conservação.
pin down		tornar algo imóvel ou prendê-lo	 We pinned down the tarp with four heavy rocks.	Nós prendemos a lona com quatro pedras pesadas.
play up		agir mal	The washing machine is playing up again. It's making a horrible noise!	A máquina de lavar está funcionando mal novamente. Está fazendo um barulho horrendo!
play up		se comportar ou trabalhar mal	The car is playing up again. It won't start.	
point out		chamar a atenção para um fato	Can I point out that I did suggest that idea in the first place!	
point out		chamar a atenção para um fato	I pointed out that I would be on holiday anyway.	
pull away		siga em frente		
pull off		ter sucesso em algo; arrancar algo	It was very difficult, but she pulled it off in the end.	Foi muito difícil, mas ela conseguiu fazer no final
pull off		mover para o lado ou fora da estrada	there is no place to pull off in case of an accident	não há lugar para sair da estrada em caso de acidente
pull off		ter sucesso em alcançar ou ganhar algo difícil.	The central bank has pulled off one of the biggest financial rescues of recent years.	O banco central realizou um dos maiores resgates financeiros dos últimos anos.
pull off		quando um veículo começa a andar	The car pulled off and sped up the road.	O carro arrancou e acelerou na estrada.
pull off		conseguir fazer algo	United nearly won the match, but just failed to pull it off.	O United quase venceu a partida, mas simplesmente falhou ao tentar conseguir.
pull off		conseguir ter sucesso	It was a tricky plan, but we pulled it off.	
pull over		vir a parar, e sair da rodovia		
pull up		levantar		
push on		continuar fazendo algo	I don't think we should wait here. Let's push on and try to get there tonight.	
push on		continuar com algum esforço	Let's push on and try to reach the coast by tonight.	
put across		explicar uma ideia	I can understand you, but can you put these ideas across to the general public?	Posso entender você, mas você pode transmitir essas ideias ao público em geral?
put across		comunicar ideias	Harry is clever but he can't put his ideas across.	
put aside		ignorar algo; guardar, economizar dinheiro, colocar de lado	He could not put aside his thoughts of revenge.	Ele não conseguia colocar suas ideias de vingança de lado.
put away		guardar, pôr no lugar	Can you put away the dishes, please?	Você pode guardar a louça?
put away		colocar para fora do caminho, limpar		
put down		humilhar, colocar para baixo; comentário maldoso	One of the big put-downs of the presidential election campaign was the comment...	Um das grandes humilhações da campanha eleitoral presidencial foi o comentário...
put down		por, colocar	Put the groceries down on the table.	Ponha as compras na mesa.
put down		anotar, escrever	She put her name down on the list.	Ela anotou seu nome na lista
put down		pagar	We put down a 20% deposit on the house.	Pagamos um depósito de 20% na casa.
put down		sacrificar	The horse broke its leg and had to be put down.	O cavalo quebrou a perna e teve que ser sacrificado.
put down		explicar a causa de algo	The team's poor performance was put down to insufficient training.	A performance fraca da equipe foi atribuída ao treinamento insuficiente.
put down		insultar, menosprezar, humilhar		
put down		escrever		
put down to		explicar a causa	Diane's poor performance was put down to nerves.	A fraca performance de Diane foi atribuída ao nervosismo.
put down to		explicar algo como sendo causado por outra coisa	I put his bad humor down to his illness.	Eu explico a causa do mau humor dele como sendo a doença.
put forward		propor para consideração		
put in for		se candidatar	Mark has put in for the post of assistant director.	
put in for		se candidatar a um trabalho	Sue has put in for a teaching job.	
put off		adiar	You can't keep putting off doing the taxes.	Você não pode ficar adiando seus impostos.
put off		adiar	I think I'll put college off for a year.	Acho que vou adiar a faculdade por um ano.
put off		desencorajar, chateado	I can't sing if people stare at me. It puts me off.	
put off		desencorajou, estressou	The crowd put the gymnast off, and he fell.	
put on		vestir; calçar; passar na pele óleo, creme	He put on his red sneakers.	Ele calçou seus tênis vermelhos.
put on		vestir; calçar; por	Put the green earrings on.	Ponha os brincos.
put on		produzir	The school is putting on a play.	A escola está produzindo uma peça.
put on		simular, fingir	She puts on a great English accent.	Ela simula um ótimo sotaque britânico.
put on		enganar alguém	She's not 45 - you're putting me on	Ela não tem 45 - você está me enganando
put on weight		ganhar peso	He's put on a lot of weight.	Ele ganhou muito peso.
put out		pôr do lado de fora; apagar fogo do cigarro, incêndio	It took firefighters seven hours to put the fire out.	Os bombeiros precisaram de sete horas para apagar o incêndio.
put out		por, colocar; mover algo para um local de fácil acesso	Put the cereal and bowls out on the table.	Ponha o cereal e as tigelas na mesa.
put out		causar problemas	Sorry we can't come to dinner. I hope this doesn't put you out at all.	
put out		ter problemas ao tentar ajudar alguém	Please don't put yourself out making a meal. A sandwich will do.	Por favor não tenha problemas fazendo a comida. Um sanduíche serve.
put together		criar, organizar	The marketing group put together an amazing presentation.	O grupo de marketing criou uma apresentação incrível.
put together		preparar, montar, juntar as partes	The table comes in a box, and you put it together.	A mesa vem em uma caixa e você a monta.
put towards		fazer uma contribuição financeira		
put up		levantar, construir um prédio	They put up a fence along the border.	Eles levantaram uma cerca ao longo da fronteira.
put up		hospedar alguém	We offered to put them up for the night.	Nós nos oferecemos para hospedá-los durante a noite.
put up		deixar alguém em sua casa	Why don't you come and stay? We can easily put you up for a few days.	
put up		oferecer acomodação	We can put you up for a few days.	
put up with		tolerar, suportar	I can put up with the noise during the day, but not at night.	Eu aguento o barulho durante o dia, mas não à noite.
put up with		tolerar suportar	After a while the noise became so loud that Brian couldn't put up with it any longer.	
put up with		tolerar, suportar	I can't put up with all this noise!	
rip off		cobrar muito, enganar	250 a night in that hotel? You were ripped off!	
rip off		cobrar demais	You paid 50? They really ripped you off!	
run across		cruzar correndo		
run away		deixar a casa		
run down		criticar	Why do you keep running yourself down so much? You're fantastic!	
run down		criticar	She's always running down her husband.	
run down		perder força, permitir desistir	I think the batteries are running down.	
run down		caçar, perseguir, buscar	Could you run some information down for me?	
run down		colidir ou derrubar algo	The drunken driver ran three pedestrians down.	
run into		encontrar por acaso	You'll never guess who I ran into the other day! Your old friend Marianne.	
run into		encontrar-se, reunião	Guess who I ran into at the supermarket!	
run out		ficar sem algo que esgotou	We ran out of money and had to postpone the trip.	Ficamos sem dinheiro e tivemos que adiar a viagem.
run out		esgotar, consumir tudo de algo		
run over		atropelar; repassar um discurso	She was run over by a car.	Ela foi atropelada por um carro.
run over		verificar, explicar	Could you just run over the details again? I'm not sure I understand.	
run over		verificar tudo em algo	Let's run over the plan once more.	
run over		exceder o tempo atribuído		
run through		verificar, explicar	Could you just run through the details again? I'm not sure I understand.	
run through		revisar os principais pontos de algo por completo	The crew ran through the preflight procedures. 	
run through		empalar ou esfaquear a pessoa inteira	I went to stop the thief, but he ran me through with a saber.	
run through		ensaiar sem parar	The director ran the cast through the last act three times.	
run through		usar algo até esgotar	She ran through all of her money in five days.	
run to		atingir uma quantidade ou número	The cost of the Olympic building programme now runs to over 5 billion.	
run to		ter dinheiro suficiente	I don't think we can run to a holiday abroad this year.	
run up		acumular dívidas; aumentar o preço	I ran up a lot of credit card debts.	Eu acumulei muitas dívidas no cartão de crédito.
run up		permitir que uma dívida ou conta se acumule	he ran up debts of 153,000	ele acumulou dívidas de $153.000
run up		fazer algo rápido ou apressadamente, especialmente uma peça de roupa	I'll run up a dress for you	Vou arranjar um vestido para ti
run up		deixar uma conta ir crescendo sem pagá-la	I ran up a huge telephone bill at the hotel.	
run up against		encontrar um problema	We've run up against a slight problem.	
see off		ir para uma estação com alguém para dizer adeus	Anna is coming with me to the airport to see me off.	
see off		ir para uma estação, aeroporto para dizer adeus	I went to the station to see them off.	
see through		entender de forma desonesta, fingir	He pretended to be busy, but I saw through his deception at once.	
see through		perceber a verdade sobre algo	I saw through his intentions at once.	
see to		lidar com	The fridge has broken down, but someone is coming to see to it tomorrow.	
send up		se divertir imitando os outros	Jean is always sending up the French teacher.	
set about		começar a fazer algo	We know what we have to do, but we're not sure how to set about it.	
set about		começar a trabalhar	We must set about re-organising the office.	
set back		atraso, obstrução		
set in		quando algo desagradável começa e irá provavelmente continuar	It looks as if the rain has set in for the day!	Parece que a chuva começou e vai continuar hoje!
set in		se estabelecer	I think this rain has set in for the day.	
set off		deixar um lugar, partir, iniciar uma jornada ou passeio		
set on		atacar	We were set on by a gang of hooligans.	
set out		explicar em detalhes	This document sets out exactly how much you have to pay, and when.	
set out		intentar, pretender, cogitar	The court heard that the two men deliberately set out to deceive customers.	
set out		dar detalhes por escrito	This document sets out all the Union demands.	
set out		organizar	I've set out the refreshments in the hall.	
set out		iniciar uma ação	Sue set out to write a biography but it became a novel.	
set out		plantar alguma plantar	They set out seeds last year, and now the field is full of flowers. 	
set out		fazer algo explícito, especialmente uma ideia ou plano	 In her speech, she set out a plan for her second term in office.	
set out		sair, partir, deixar um lugar		
set up		estabelecer, organizar	The police have set up an inquiry into the complaints.	
set up		estabelecer	An inquiry into the accident has been set up.	Foi instaurado inquérito sobre o acidente.
set up		organizar, acomodar, preparar		
set upon		atacar	The security guards were set upon by three armed men.	
set upon		atacar	We were set upon by a gang of hooligans.	
settle down		acomodar-se; criar uma rotina	It took me 2 months to settle everything down after moving.	Eu levei dois meses para me acomodar depois da mudança.
shake off		se livrar	I can't seem to shake off this flu. I've had it for ten days.	
sink in		ser entendido, entender	I had to read the letter several times before the news finally sank in.	
sink in		perceber lentamente	Slowly the realisation that I had won began to sink in.	
slip up		cometer um erro	I think someone has slipped up. These are not the books I ordered.	
slip up		cometer um erro	Someone slipped up and my application was lost.	
sort out		fazer algo para resolver um problema	I'm sorry about the mistake. We'll sort it out as soon as we can.	
sort out		encontrar uma solução	Don't worry, Mary will sort out your problems.	
spring up		aparecer repentinamente		
stand by		manter um acordo	The leader of the party said they would stand by the agreement they made last year.	
stand by		manter um acordo	The company agreed to stand by its original commitment.	
stand by		manter-se leal ou fiel		
stand for		significar; apoiar uma causa ou ideia	Everybody should stand for democracy.	Todo mundo deveria apoiar a democracia.
stand for		representar	In this sentence, i.e. stands for id est, the Latin for 'that is'.	
stand for		tolerar	I won't stand for any more shouting and swearing!	
stand for		representar, iniciais	E.g. stands for exempli gratia, it's Latin.	
stand for		tolerar	I will not stand for this kind of behaviour in my house!	
stand for		tolerar		
stand in for		tomar o lugar de	As Mr Davis is in hospital, Jill Cope will be standing in for him for the next two weeks.	
stand in for		ocupar o lugar de	Carol has kindly agreed to stand in for Graham at the monthly meeting.	
stand up		levantar-se	Stand up and help me put these things in the box.	Levante e me ajude a colocar essas coisas na caixa.
stand up to		resistir, suportar estresse	The engine won't stand up to the strain.	
step down		demitir-se, renunciar	At the end of this month, Helen will be stepping down as union representative.	
step down		demitir-se, renunciar, desistir, ceder	The Chairman has stepped down after criticism from shareholders.	O presidente deixou o cargo após críticas dos acionistas.
step up		aumentar	The report has stepped up the pressure on the director to resign.	
step up		aumentar	Production at the Leeds plant has been stepped up.	
stick up for		defender	Don't just say nothing! Stick up for yourself!	
stick up for		defender-se, defender seus direitos	You must learn to stick up for yourself.	
sum up		dar um resumo	Let me sum up by repeating the main points.	
sum up		exibir o que algo parece	I think that what he has done sums up his behaviour in general.	
take aback		surpresa ou choque, desconforto		
take after		puxar, assemelhar-se a parente	He takes after his father in looks.	Ele se parece com o pai, na aparência.
take apart		desmontar	She had taken the whole bike apart.	Ela tinha desmontado a bicicleta inteira.
take aside		tomar alguém a sós para conversar		
take away		levar embora; tirar, levar para viagem	he ordered a coffee to take away	ele solicitou um café para levar
take away		subtrair ou diminuir algo		
take back		devolver item comprado; aceitar alguém de volta relacionamento, emprego	I took it back and got a refund.	Eu devolvi e consegui um reembolso.
take back		retirar o que disse	I take back what I said about Susan - she's really nice.	Eu retiro o que disse sobre a Susan - ela é muito legal.
take back		retratar uma declaração anterior		
take down		derrubar; desmontar	They were taking down the circus tent.	Eles estavam desmontando a tenda do circo.
take down		anotar	She took down my name and address.	Ela anotou meu nome e meu endereço.
take down		remover algo do gancho, de onde estava pendurado		
take in		compreender, captar, entender	It was hard to take in all the details.	Foi difícil compreender todos os detalhes.
take in		absorver	Plants take in sunlight through their leaves.	Plantas absorvem a luz do sol através de suas folhas.
take in		levar para casa	He's always taking in stray cats.	Ele vive levando gatos de rua para casa.
take in		ser enganado	I was completely taken in by his charm.	Fui completamente enganada por seu charme.
take in		enganar	He took me in at first, but then I realized what he was really like.	
take in		enganar	Don't be taken in by her apparent shyness.	Não se deixe levar pela aparente timidez dela.
take it out on		fazer um outro sofrer por causa do teu sofrimento	I know you are unhappy, but don't take it out on me!	
take off		tirar roupa, sapato; decolar	she took off her cardigan	ela tirou o casaco
take off		decolar	The plane took off at 8.30 a.m.	O avião decolou às 8h30.
take off		tirar uma peça de roupa	Take off your jacket.	Tire sua jaqueta.
take off		não ir trabalhar	I'm taking a week off in June.	Não vou trabalhar por uma semana em junho.
take off		imitar	Jack can take off all the teachers really well.	
take off		imitar	Dave takes off the Prime Minister really well.	
take off		remover		
take off		partir		
take on		contratar	he took me on as an apprentice	ele me contratou como um aprendiz
take on		enfrentar	Are you sure you want to take this project on?	Tem certeza que quer enfrentar este projeto?
take on		encarregar-se	a grandmother who has taken on the care of her grandchild	uma avó que foi encarregada de cuidar de seus netos
take on		adquirir uma característica particular	Her words have taken on a different meaning since the accident.	
take on		fazer trabalho extra	Pat has taken on too much work and is exhausted.	
take on		adquirir uma nova característica	My grandmother has taken on a new lease of life since her operation.	Minha avó ganhou um novo sopro de vida desde a operação.
take on		fazer algo extra	She has taken on too much with a full-time job as well.	
take out		tirar; deixar de lado; sacar dinheiro; levar alguém para sair	My parents took me out for dinner.	Meus pais me levaram para jantar.
take out		tirar de dentro de algo; levar para sair	Come on, I'm taking you out tonight.	Vamos, vou te levar para sair hoje.
take out		levar a comida para viagem	Is that to eat here or take out?	É para comer aqui ou para levar?
take out		descontar em alguém	I know you had a bad day, but don't take it out on the kids.	Eu sei que você teve um dia ruim, mas não desconte nas crianças.
take out		seguro, assinar um contrato de seguro	Ann has taken out life insurance.	
take out		remover		
take out on		descontar em alguém	Every time she's angry, she takes out on me.	Toda vez que ela está com raiva, desconta em mim.
take over		assumir o controle de algo	The new president takes over in September.	O novo presidente assume em setembro.
take over		tomar controle de	A small group of determined men took over the country.	
take over		ganhar controle de	The army tried to take over the country.	
take over		adotar uma responsabilidade ou dever		
take through		explicar algo		
take to		aprender a gostar, começar a gostar	My mother took to Sarah as soon as they met.	
take to		desenvolver um gosto por	You'll soon take to your new boss, I'm sure.	
take to		desenvolver atração ou carinho por algo	I'm so happy that my parents have taken to my new girlfriend.	
take to		começar a fazer algo por hábito, costume, hobby, passatempo, ou por prática constante	I've been taking to cycling to work as a way of getting a bit more exercise.	
take to doing		desenvolver um hábito	Sam has taken to wearing his grandfather's old suits.	
take up		ocupar tempo	The meeting took up a whole morning.	
take up		escolher		
talk into		persuadir	I didn't want to buy the car, but the salesman talked me into it.	
talk into		dissuadir de, convencer de, persuadir	Paul talked me into going skiing, against my better judgement.	
talk out of		persuadir	I didn't want to buy the car, but the salesman talked me out of it.	
talk out of		dissuadir de, convencer de, persuadir	Paul talked me out of going skiing, against my better judgement.	
tell off		criticar ferozmente	Ted's teacher told him off for being late.	
tell off		repreender	Our teacher told us off for being late.	
think over		considerar algo cuidadosamente		
throw away		jogar fora	Don't throw my things away.	Não jogue minhas coisas fora.
throw away		jogar algo fora	She threw the broken toy away.	Ela jogou fora o brinquedo quebrado
throw away		gastar, desperdiçar		
throw out		descartar, dispensar		
throw up		vomitar	The boys got drunk and threw up in the living room.	Os meninos ficaram bêbados e vomitaram na sala.
throw up		produzir novos problemas ou novas ideias	The meeting threw up some interesting ideas.	A reunião trouxe algumas ideias interessantes.
throw up		vomitar		
tie down to		forçar a fazer ou dizer algo em definitivo	Anna says she will visit us, but I can't tie her down to a date.	
tie in with		estar de acordo com	I'm afraid your party doesn't quite tie in with our arrangements.	Receio que sua festa não esteja de acordo com nossos preparativos.
track down		encontrar após uma longa pesquisa	The police finally tracked the robbers down in South America.	
track down		rastrear o paradeiro de	The police tracked down the killer and arrested him.	
try on		colocar roupas para ver se servem, experimentar roupa		
try out		testar para ver se funciona	They tried out the new drug on animals before using it on humans.	
try out		testar uma máquina	Let's try out the new washing machine.	
turn down		rejeitar, recusar	She turned down the job.	Ela recusou o emprego.
turn down		diminuir; abaixar	hey turned down the stereo.	Eles diminuíram o som.
turn down		rejeitar	The council has turned down our application for planning permission.	
turn down		rejeitar uma oferta	Another company offered me a job but I turned them down.	
turn down		rejeitar, recusar		
turn into		tornar-se	Caterpillars turn into butterflies.	Lagartas se tornam borboletas.
turn off		desligar um aparelho; desanimar alguém	Please turn off the radio.	Por favor desligue o rádio.
turn off		desligar	Turn the music off for a minute.	Desligue a música por um minuto.
turn off		desmotivar	His comments against women really turned me off.	Seus comentários contra as mulheres realmente me desmotivaram.
turn off		saída	I think we missed the turn-off.	Acho que perdemos a saída.
turn off		algo brochante, balde de água fria	His dirty clothes were a real turn-off.	Suas roupas sujas eram algo brochante.
turn on		ligar um aparelho; excitar-se; animar-se	My kids turn on when they see the sea.	Meus filhos se animam quando veem o mar.
turn on		estímulo	The smell of flowers on a field is a real turn-on.	O cheiro de flores em um campo é realmente excitante.
turn on		ligar, abrir água, gás; acender luz	Turn the music on.	Ligue a música.
turn on		estimular,excitar	He knows how to turn a woman on.	Ele sabe como excitar uma mulher.
turn on		voltar-se contra	I don't understand how he can turn on his friends like that.	Não entendo como ele se voltou contra os amigos daquele jeito.
turn on		começar a operar, ligar a força		
