phrasal	meaning	significado	phrase	frase	position
dry off	To dry something or a surface quickly.	Secar algo ou uma superfície rapidamente.	I had a shower and dried myself off.	Eu tomei um banho e me sequei.	1867
dry off	Dry something quickly, or dry the surface.	Secar algo rapidamente, ou secar a superfície.	I had a shower and dried myself off.	Eu tomei um banho e me sequei.	1868
dry off	To dry something or a surface quickly.	Secar algo ou uma superfície rapidamente.	I had a shower and dried myself off.	Eu tomei um banho e me sequei.	1869
dry out	To remove water or other liquid from a container.	Remover água ou outro líquido de um recipiente.	He checked into a clinic to dry out after being arrested for drink-driving.	Ele deu entrada em uma clínica para parar de beber depois de ser preso por conduzir bêbado.	1870
dry out	Stop drinking or taking drugs when addicted.	Parar de beber ou tomar drogas quando viciado.	He checked into a clinic to dry out after being arrested for drink-driving.	Ele deu entrada em uma clínica para parar de beber depois de ser preso por conduzir bêbado.	1871
dry out	Dry something fully.	Secar algo totalmente.	They dried the fruit out in the sun.	Eles secaram a fruta ao sol.	1872
dry out	To remove water or other liquid from a container.	Remover água ou outro líquido de um recipiente.	He checked into a clinic to dry out after being arrested for drink-driving.	Ele deu entrada em uma clínica para parar de beber depois de ser preso por conduzir bêbado.	1873
dry out	Have excess water evaporate or be otherwise removed.	Faça com que o excesso de água evapore ou seja removido de outra forma.			1874
dry up	When all the liquid and/or moisture evaporates.	Quando todo o líquido e / ou umidade evapora.	The lake dried up because of the water extraction for cotton farming.	O lago secou por causa da extração de água para a agricultura de algodão.	1875
dry up	Lose all the water from a river, lake, source, etc.	Perder toda a água de um rio, lago, fonte, etc.	The lake dried up because of the water extraction for cotton farming.	O lago secou por causa da extração de água para a agricultura de algodão.	1876
dry up	Stop being supplied with something.	Parar de ser suprido com alguma coisa.	His income dried up when cheaper options became available.	A renda dele secou quando opções mais baratas se tornaram disponíveis.	1877
dry up	Be unable to speak.	Ser incapaz de falar.	She dried up in the press conference.	Ela ficou incapaz de falar na conferência de imprensa.	1878
dry up	Dry plates, dishes, cutlery, etc, after washing them up.	Secar pratos, talheres, facas, etc, depois de lavá-los.	I washed and dried up.	Lavei e sequei a louça.	1879
dry up	When all the liquid and/or moisture evaporates.	Quando todo o líquido e / ou umidade evapora.	The lake dried up because of the water extraction for cotton farming.	O lago secou por causa da extração de água para a agricultura de algodão.	1880
dry up	Become dry (often of weather); to lose water	Ficar seco (geralmente devido ao clima); perder água			1881
dry up	Cause to become dry	Fazer com que fique seco			1882
dry up	Deprive someone of (something vital)	Privar alguém de (algo vital)			1883
dry up	Cease to exist; to disappear 	Deixar de existir; para desaparecer			1884
dry up	Manually dry dishes	Secar pratos manualmente			1885
dry up	Stop talking, to forget what one was going to say	Pare de falar, para esquecer o que ia dizer			1886
duck out	Leave quickly and unannounced	Sair rapidamente e sem avisar			1887
duck out of	Avoid doing something.	Evitar fazer algo.	He ducked out of helping us last night.	Ele evitou de nos ajudar na noite passada.	1888
duff up	Beat or hit someone repeatedly.	Bater ou acertar alguém repetidamente.	He was duffed up in a night club last night.	Ele foi golpeado em um clube noturno na noite passada.	1889
dumb down	Reduce the intellectual level of something in search of popularity.	Reduzir o nível intelectual de algo em busca de popularidade.	Television has been dumbing down the news for years.	A televisão tem tido o nível intelectual reduzido nas notícias por anos.	1890
dump on	Treat someone badly.	Tratar mal alguém.	Her boss dumps on everyone when things go wrong.	Seu chefe trata mal todos quando as coisas dão errado.	1891
dump on	Criticize heavily, often unfairly.	Criticar fortemente, muitas vezes injustamente.	She dumps on her family a lot.	Ela critica fortemente sua família.	1892
dump on	Tell someone your problems.	Dizer a alguém seus problemas.	When he's depressed, he needs someone to dump on.	Quando ele está deprimido, ele precisa de alguém para dizer seus problemas.	1893
dwell on	Spend a lot of time on something.	Passar muito tempo fazendo alguma coisa.	The programme dwelled on little other than the scandal.	O programa gastou muito tempo no escândalo e pouco além do escândalo.	1894
dwell upon	Spend a lot of time on something.	Passar muito tempo fazendo alguma coisa.	She dwelt upon the economic situation in her speech.	Ela gastou muito tempo falando da situação econômica em seu discurso.	1895
ease off	Reduce pressure.	Reduzir a pressão.	She eased off the accelerator to let the car slow down.	Ela reduziu o acelerador para deixar o carro desacelerar.	1896
ease up	Relax, calm down.	Relaxar, acalmar-se.	She asked her teacher to ease up because she was feeling very stressed.	Ela pediu a seu professor para aliviar porque estava se sentindo muito estressada.	1897
eat away	Destroy slowly.	Destruir lentamente.	The disease eats the liver away.	A doença come o fígado.	1898
eat away	Erode or corrode gradually	Erodir ou corroer gradualmente			1899
eat in	Eat at home.	Comer em casa.	We didn't feel like going to a restaurant so we ate in.	Nós não sentimos vontade de ir a um restaurante então comemos em casa.	1900
eat into	Use something valuable when you don't want to.	Usar algo valioso quando você não quiser.	We've had to eat into our savings since I lost my job.	Nós tivemos que consumir nossas economias desde que perdi meu trabalho.	1901
eat into	Consume gradually, especially by erosion	Consumir gradativamente, principalmente por erosão			1902
eat out	eat at a restaurant	comer em um restaurante	I don't feel like cooking tonight. Let's eat out	Não estou com vontade de cozinhar esta noite. Vamos comer fora	1903
eat out	eat at a restaurant		I don't feel like cooking tonight. Let's eat out	Não estou com vontade de cozinhar esta noite. Vamos comer fora	1904
eat out	Eat in a restaurant.	Comer em um restaurante.	We couldn't be bothered to cook so we ate out last night.	Nós não poderíamos ser incomodados em cozinhar, então nós comemos fora na noite passada.	1905
eat out	Perform cunnilingus or anilingus	Faça cunilíngua ou anilíngua			1906
eat out	Eat in a restaurant 	Comer em um restaurante			1907
eat up	To consume all the food	consumir toda a comida	He ate up his entire meal in just a few minutes.	Ele comeu toda a sua refeição em apenas alguns minutos.	1908
eat up	When someone consumes all their food.	Quando alguém consome toda a comida.	If you don't eat up your greens, you won't get any dessert.	Se você não comer todo seus vegetais, você não receberá nenhuma sobremesa.	1909
eat up	Eat all of something.	Comer tudo.	If you don't eat up your greens, you won't get any dessert.	Se você não comer todo seus vegetais, você não receberá nenhuma sobremesa.	1910
eat up	Consume.	consumir	This car eats up petrol.	Este carro come a gasolina.	1911
eat up	Consume something you don't want to be consumed.	Consumir algo que você não quer que seja consumido.	The graphics eat up our bandwidth consumed - they're costing us a fortune.	Os gráficos consomem nossa largura de banda - eles estão nos custando uma fortuna.	1912
eat up	When someone consumes all their food.	Quando alguém consome toda a comida.	If you don't eat up your greens, you won't get any dessert.	Se você não comer todo seus vegetais, você não receberá nenhuma sobremesa.	1913
eat up	Consume completely	Consumir completamente			1914
eat up	Accept or believe entirely, immediately, and without questioning	Aceite ou acredite inteiramente, imediatamente e sem questionar			1915
ebb away	Disappear gradually.	Desaparecer gradualmente.	His life was ebbed away as the illness progressed.	A vida dele estava desaparecendo enquanto a doença progredia.	1916
edge out	Gradually push someone or something out of their position.	Gradualmente empurrar alguém ou algo fora de sua posição.	The shareholders edged the CEO out because results were getting worse.	Os acionistas retiraram o CEO porque os resultados estavam piorando.	1917
edge up	Approach slowly.	aproximação lenta.	She edged up behind the bus at the red light.	Ela se aproximou atrás do ônibus no farol vermelho.	1918
egg on	Encourage.	Incentivar, encorajar	The other students egged him on when he started arguing with the teacher.	Os outros alunos o encorajaram quando ele começou a discutir com o professor.	1919
eke out	Make something like money last as long as possible.	Fazer algo como o dinheiro durar o maior tempo possível.	Most students have to eke out their income because they have so little money to live on.	A maioria dos alunos tem que economizar sua renda porque eles têm pouco dinheiro para viver.	1920
embark on	Start a project or venture.	Iniciar um projeto ou empreendimento.	Piere embarked on an MBA at Insead last autumn.	Piere embarcou em um MBA em Insead no último outono.	1921
embark upon	Start a project or venture.	Iniciar um projeto ou empreendimento.	Fernanda has just embarked upon a new professional challenge.	Fernanda acaba de embarcar em um novo desafio profissional.	1922
empty out	To remove everyone or everything from a space.	Remover todos ou tudo de um espaço.	I must empty out the rubbish before I leave for work.	Devo esvaziar o lixo antes de sair para o trabalho.	1923
empty out	Empty something completely.	Esvaziar algo completamente.	I must empty out the rubbish before I leave for work.	Devo esvaziar o lixo antes de sair para o trabalho.	1924
empty out	Remove some things or everything from a container.	Remover algumas coisas ou tudo, de um contêiner.	I emptied some of the coffee out so I could pour more milk in.	Removi um pouco do café para que eu pudesse derramar mais leite dentro.	1925
empty out	To remove everyone or everything from a space.	Remover todos ou tudo de um espaço.	I must empty out the rubbish before I leave for work.	Devo esvaziar o lixo antes de sair para o trabalho.	1926
end in	Finish a certain way.	Terminar de uma certa maneira.	It'll end in tears.	Vai terminar em lágrimas.	1927
end up	eventually reach/do/decide	eventualmente alcançar / fazer / decidir	We ended up renting a movie instead of going to the theatre.	Acabamos alugando um filme em vez de ir ao teatro.	1928
end up	To eventually be in a particular place or situation	eventualmente estar em um lugar ou situação particular	After driving around for hours, we finally ended up at the beach.	Depois de dirigir por horas, finalmente acabamos na praia.	1929
end up	The end result of something planned or unplanned.	O resultado final de algo planejado ou não planejado.	We couldn't get tickets for Egypt so we ended up going to Turkey instead.	Nós não poderíamos obter ingressos para o Egito, então acabamos indo para a Turquia.	1930
end up	eventually reach/do/decide		We ended up renting a movie instead of going to the theatre.	Acabamos alugando um filme em vez de ir ao teatro.	1931
end up	Become or do something unplanned.	Tornar-se ou fazer algo não planejado.	We couldn't get tickets for Egypt so we ended up going to Turkey instead.	Nós não poderíamos obter ingressos para o Egito, então acabamos indo para a Turquia.	1932
end up	The end result of something planned or unplanned.	O resultado final de algo planejado ou não planejado.	We couldn't get tickets for Egypt so we ended up going to Turkey instead.	Nós não poderíamos obter ingressos para o Egito, então acabamos indo para a Turquia.	1933
end up with	Get as a result of something.	Obter como resultado de algo.	He tried hard but ended up with a poor grade.	Ele tentou muito, mas acabou com uma nota ruim.	1934
enter for	Join or enter a competition.	Juntar-se ou entrar numa competição.	They entered for the national championship but weren't good enough.	Eles entraram para o campeonato nacional, mas não eram bons o suficiente.	1935
enter into	Become involved in or accept.	Envolver-se ou aceitar.	They entered into an agreement with their rivals.	Eles entraram em um acordo com seus rivais.	1936
eye up	Look carefully at someone.	Olhar cuidadosamente para alguém.	The guy eyed the other man up because he was behaving suspiciously.	O cara olhou para o outro homem porque estava com comportamento suspeito.	1937
face off	Confront.	enfrentar, confrontar	The company faced off the competition.	A empresa enfrentou a concorrência.	1938
face up to	Accept an unpleasant truth.	Aceitar uma verdade desagradável.	Many people find it hard to face up to the fact that they are getting old.	Muitas pessoas acham difícil enfrentar o fato de que estão ficando velhos.	1939
fade away	when something becomes blurry; when memories become unclear	quando algo se torna embaçado; quando as memórias se tornam obscuras	Memories will eventually fade away.	As memórias acabarão por desaparecer.	1940
fade away	when something becomes blurry; when memories become unclear	quando algo se torna embaçado; quando as memórias se tornam obscuras	The ink on the paper will fade away after a year.	A tinta no papel desaparecerá após um ano.	1941
fade away	when something becomes blurry; when memories become unclear	quando algo se torna embaçado; quando as memórias se tornam obscuras	I don't want our memories to fade away.	Não quero que as nossas memórias desapareçam.	1942
faff about	Behave indecisively.	Comportar-se indeciso.	He told her to stop faffing about and make her mind up.	Ele disse a ela para parar de ficar indecisa e tomar uma decisão.	1943
faff around	Behave indecisively.	Comportar-se indeciso.	She told him to stop faffing around and make his mind up.	Ela disse a ele para parar com indecisão e se decidir.	1944
fall about	Laugh a lot.	Rir muito.	We fell about when we heard what she'd done.	Nós caímos na risada quando ouvimos o que ela tinha feito.	1945
fall about	Laugh so much that one's entire body moves somewhat uncontrollably	Rir tanto que todo o corpo se move de forma um tanto incontrolável			1946
fall apart	break into pieces	quebrar em pedaços	My new dress fell apart in the washing machine.	Meu vestido novo se desfez na máquina de lavar.	1947
fall apart	To stop working or break into pieces	parar de funcionar ou quebrar em pedaços	The old chair fell apart when I sat on it.	A velha cadeira desmoronou quando me sentei nela.	1948
fall apart	When something breaks all at once or piece by piece.	Quando algo quebra de uma só vez ou peça por peça.	The box fell apart when I picked it up.	A caixa desmoronou quando eu a peguei.	1949
fall apart	break into pieces		My new dress fell apart in the washing machine.	Meu vestido novo se desfez na máquina de lavar.	1950
fall apart	Break into pieces.	Quebrar em pedaços.	The box fell apart when I picked it up.	A caixa desmoronou quando eu a peguei.	1951
fall apart	Become emotionally disturbed and unable to behave normally.	Tornar-se emocionalmente perturbado e incapaz de se comportar normalmente.	He fell apart when they sacked him.	Ele desmoronou quando eles o saquearam.	1952
fall apart	When something breaks all at once or piece by piece.	Quando algo quebra de uma só vez ou peça por peça.	The box fell apart when I picked it up.	A caixa desmoronou quando eu a peguei.	1953
fall apart	Disintegrate	Desintegrar			1954
fall apart	Be emotionally in crisis	Estar emocionalmente em crise			1955
fall away	Cease to support a person or cause	Deixar de apoiar uma pessoa ou causa			1956
fall back	Retreat.	retiro, recuo, retirada, recuar	The army fell back after losing the battle.	O exército recuou depois de perder a batalha.	1957
fall back on	To rely on something as a last resort or backup	Confiar em algo como último recurso ou backup	If I can't find a job, I might fall back on my savings.	Se eu não conseguir encontrar um emprego, posso voltar atrás em minhas economias.	1958
fall back on	Be able to use in an emergency.	Ser capaz de usar em uma emergência.	It was good to have some money in the bank to fall back on when I lost my job.	Foi bom ter algum dinheiro no banco para emergência quando perdi meu trabalho.	1959
fall behind	To move slower than others.	Se mover mais devagar que outros.	I was ill for a week and fell behind with my work.	Eu fiquei doente por uma semana e tive menos progresso com o meu trabalho.	1960
fall behind	Make less progress.	Fazer menos progresso.	I was ill for a week and fell behind with my work.	Eu fiquei doente por uma semana e tive menos progresso com o meu trabalho.	1961
fall behind	To move slower than others.	Se mover mais devagar que outros.	I was ill for a week and fell behind with my work.	Eu fiquei doente por uma semana e tive menos progresso com o meu trabalho.	1962
fall behind	Be late (for a regular event)	Chegar atrasado para um evento			1963
fall behind	Be progressively below average in performance	Estar progressivamente abaixo da média no desempenho			1964
fall behind	Make less progress than other people	Fazer menos progresso do que outras pessoas			1965
fall down	fall to the ground	cair	The picture that you hung up last night fell down this morning.	A foto que você pendurou ontem à noite caiu esta manhã.	1966
fall down	To collapse or fall to the ground	desmoronar ou cair no chão	The little girl tripped and fell down the stairs.	A menina tropeçou e caiu das escadas.	1967
fall down	To fall to the ground.	Cair no chão.	I slipped on the ice and fell down.	Escorreguei no gelo e caí.	1968
fall down	fall to the ground		The picture that you hung up last night fell down this morning.	A foto que você pendurou ontem à noite caiu esta manhã.	1969
fall down	Fall on the ground.	Cair no chão.	I slipped on the ice and fell down.	Escorreguei no gelo e caí.	1970
fall down	Have a weak point.	Ter um ponto fraco.	The argument falls down when you look at how much it'll cost.	O argumento cai quando você olha quanto custa.	1971
fall down	To fall to the ground.	Cair no chão.	I slipped on the ice and fell down.	Escorreguei no gelo e caí.	1972
fall down	Fall to the ground, to collapse	Cair no chão, desabar			1973
fall down	Fail	Falhar			1974
fall for	To fall in love with someone	se apaixonar por alguém	He fell for her the moment he saw her.	Ele se apaixonou por ela no momento em que a viu.	1975
fall for	When you have an intense attraction to something or someone.	Quando você tem uma atração intensa por algo ou alguém.	He fell for her the moment their eyes met.	Ele ficou apaixonado por ela no momento em que seus olhos se encontraram.	1976
fall for	Be attracted to somebody, fall in love.	Ser atraído por alguém, se apaixonar.	He fell for her the moment their eyes met.	Ele ficou apaixonado por ela no momento em que seus olhos se encontraram.	1977
fall for	Believe a lie or a piece of deception.	Acreditar uma mentira ou ter uma decepção.	He fell for my story and allowed me yet another extension for the submission of my thesis.	Ele caiu na minha história e me permitiu mais uma extensão para a apresentação da minha tese.	1978
fall for	When you have an intense attraction to something or someone.	Quando você tem uma atração intensa por algo ou alguém.	He fell for her the moment their eyes met.	Ele ficou apaixonado por ela no momento em que seus olhos se encontraram.	1979
fall for	Be fooled; to walk into a trap or respond to a scam or trick	Ser enganado; cair em uma armadilha ou responder a uma fraude ou truque			1980
fall for	Fall in love with someone	Apaixonar-se por alguem			1981
fall for	Begin to be in love with someone	Começar a se apaixonar por alguém			1982
fall in	To collapse inward or form a line or formation	entrar em colapso ou formar uma linha ou formação	The old building finally fell in after years of neglect.	O antigo prédio finalmente caiu depois de anos de negligência.	1983
fall in	Collapse.	colapso, desmoronar	The ceiling fell in hurting a lot of people.	O teto caiu ferindo muitas pessoas.	1984
fall in	Collapse inwards	Recolher para dentro			1985
fall in	Come to an end; to terminate; to lapse	Chegar ao fim; terminar; caducar			1986
fall in	Go into something by falling	Entrar em algo caindo	We put up a fence around the pit so no one would accidentally fall in.	Colocamos uma cerca ao redor do poço para que ninguém caísse acidentalmente.	1987
fall in with	Join (a group of people)	Juntar-se a um grupo de pessoas			1988
fall in with	Accept	Aceitar			1989
fall into	Start doing something unplanned.	Começar a fazer algo não planejado.	I just fell into my job when an opportunity came up.	Acabei de começar a fazer algo não planejado no meu trabalho quando surgiu uma oportunidade.	1990
fall into	Go into something by falling	Entrar em algo caindo	We put up a fence around the pit so no one would accidentally fall into.	Colocamos uma cerca ao redor do poço para que ninguém caísse acidentalmente.	1991
fall into	To drop or plummet into something	Cair ou afundar em algo	There are a lot of holes out there, be sure not to fall into any.	Há muitos buracos por aí, fique esperto para não cair em nenhum.	1992
fall into	To descend or drop freely or effortlessly into something	Descer ou cair livremente ou sem esforço em algo	I was so tired that I went to my bedroom and fell into bed.	Eu estava tão cansado que fui para o meu quarto e caí na cama.	1993
fall into	Enter something without having planned it	Entrar em algo sem ter planejado			1994
fall into	To obtain something, typically unexpectedly or with little effort.	Obter algo, normalmente inesperadamente ou com pouco esforço.	When my grandfather died, I ended up falling into a lot of money.	Quando meu avô morreu, acabei obtendo muito dinheiro.	1995
fall into	To come to assume a configuration, pattern, or order	Assumir uma configuração, padrão ou ordem	The lines of text fell into neat rows. After a quick meeting, our plans fell into place.	As linhas de texto caíram em linhas limpas. Depois de uma reunião rápida, nossos planos se encaixaram.	1996
fall into	Be classified as; to fall under	Ser classificado como; cair sob	The types of arguments that my family have on Thanksgiving fall into two basic categories: food-related and sports-related.	Os tipos de assuntos que minha família tem sobre o Dia de Ação de Graças se enquadram em duas categorias básicas: relacionados à comida e relacionados ao esporte.	1997
fall into	To be able to be easily grouped or categorized in a particular way.	Ser capaz de ser facilmente agrupado ou categorizado de uma maneira particular.	The types of arguments that my family have on Thanksgiving fall into two basic categories: food-related and sports-related.		1998
fall off	To decline in quality or quantity	Diminuir em qualidade ou quantidade	Sales fell off during the holiday season.	As vendas caíram durante a temporada de férias.	1999
fall off	When something drops to a lower level.	Quando algo cai para um nível mais baixo.	The membership fell off dramatically when the chairperson resigned.	A adesão caiu dramaticamente quando o presidente renunciou.	2000
fall off	Decrease.	diminuir, reduzir	The membership fell off dramatically when the chairperson resigned.	A adesão caiu dramaticamente quando o presidente renunciou.	2001
fall off	When something drops to a lower level.	Quando algo cai para um nível mais baixo.	The membership fell off dramatically when the chairperson resigned.	A adesão caiu dramaticamente quando o presidente renunciou.	2002
fall off	Become detached or to drop from	Torne-se desapegado ou abandone			2003
fall off	Diminish in size, value etc.	Diminuir em tamanho, valor etc.			2004
fall on	Experience; to suffer; to fall upon	Experiência; sofrer; cair sobre			2005
fall on	Be assigned to; to acquire a new responsibility, duty or burden	Ser atribuído a; adquirir uma nova responsabilidade, dever ou fardo			2006
fall on	Occur on a particular day	Ocorrer em um determinado dia			2007
fall out	(of hair, teeth) become loose and unattached	cabelos ou dentes soltos e desapegados	His hair started to fall out when he was only 35.	Seu cabelo começou a cair quando ele tinha apenas 35 anos.	2008
fall out	To have a disagreement or argument	Ter um desacordo ou argumento	They fell out over a trivial issue and stopped speaking to each other.	Eles caíram em uma questão trivial e pararam de falar um com o outro.	2009
fall out	To unintentionally drop an object	soltar involuntariamente um objeto	Her credit card fell out of her pocket.	O cartão de crédito caiu do bolso.	2010
fall out	To fall from or through something.	Cair de ou através de algo.	They fell out over the decision and hardly speak to each other any more.	Eles se desentenderam sobre a decisão e dificilmente falam um com outro.	2011
fall out	(of hair, teeth) become loose and unattached		His hair started to fall out when he was only 35.	Seu cabelo começou a cair quando ele tinha apenas 35 anos.	2012
fall out	Argue and be on bad terms with someone.	Argumentar e estar em termos ruins com alguém.	They fell out over the decision and hardly speak to each other any more.	Eles se desentenderam sobre a decisão e dificilmente falam um com outro.	2013
fall out	Lose hair.	Perder cabelo.	He's started getting worried about baldness because his hair is falling out rather quickly.	Ele começou a se preocupar com a calvície porque o cabelo dele está caindo rapidamente.	2014
fall out	To fall from or through something.	Cair de ou através de algo.	They fell out over the decision and hardly speak to each other any more.	Eles se desentenderam sobre a decisão e dificilmente falam um com outro.	2015
fall out	Come out of something by falling	Sair de algo caindo			2016
fall out	Cease to be on friendly terms	Deixar de ser amigável			2017
fall out	Leave one's current location to report for duty at a new location	Deixar a localização atual para se apresentar ao serviço em um novo local			2018
fall out	Argue with someone and stop being friendly with them	Discutir com alguém e parar de ser amigável com ele			2019
fall out with somebody	Argue with sb and you are no longer friendly with them	Discutir com alguém e você não será mais amigável com ele			2020
fall over	When someone or something falls from an upright position to the ground.	Quando alguém ou algo cai de uma posição vertical no chão.	I slipped on the ice and fell over.	Escorreguei no gelo e caí.	2021
fall over	Fall on the ground.	Cair no chão.	I slipped on the ice and fell over.	Escorreguei no gelo e caí.	2022
fall over	When someone or something falls from an upright position to the ground.	Quando alguém ou algo cai de uma posição vertical no chão.	I slipped on the ice and fell over.	Escorreguei no gelo e caí.	2023
fall through	To fail to happen or be completed as planned	Não acontecer ou ser concluído como planejado	Our plans to go on a trip fell through due to bad weather.	Nossos planos de fazer uma viagem caíram devido ao mau tempo.	2024
fall through	If things do not go as planned, or if a plan, deal or agreement fails.	Se as coisas não correrem como o planejado, ou se um plano, acordo ou acordo falhar.	The plans fell through when planning permission was refused.	Os planos foram mal sucedidos quando a permissão de planejamento foi recusada.	2025
fall through	Be unsuccessful.	Ser mal sucedido.	The plans fell through when planning permission was refused.	Os planos foram mal sucedidos quando a permissão de planejamento foi recusada.	2026
fall through	If things do not go as planned, or if a plan, deal or agreement fails.	Se as coisas não correrem como o planejado, ou se um plano, acordo ou acordo falhar.	The plans fell through when planning permission was refused.	Os planos foram mal sucedidos quando a permissão de planejamento foi recusada.	2027
fall through	Be unsuccessful, abort, come to nothing/naught; to be cancelled; not to proceed	Não ter sucesso, abortar, dar em nada; ser cancelado; não prosseguir			2028
fall through	If an agreement, plan, sale etc. falls through, it is not completed successfully	Se um acordo, plano, venda, etc. falhar, não será concluído com sucesso			2029
fall under	Become controlled.	Tornar-se controlado.	At first he was independent, but then he fell under their influence.	A princípio ele era independente, mas depois ele caiu sob sua influência.	2030
fall under	Belong to for purposes of categorization 	Pertencer a para fins de categorização			2031
fall upon	Fall on; to experience; to suffer	Cair sobre; experimentar; sofrer			2032
fallen out	separate from an interior	separar de um interior	The money must have fallen out of my pocket.	O dinheiro deve ter caído do meu bolso.	2033
fallen out	separate from an interior		The money must have fallen out of my pocket.	O dinheiro deve ter caído do meu bolso.	2034
farm out	Give or contract work to someone else.	Entregar o trabalho para execução para um terceiro geralmente sob contrato	The company wants to farm out their maintenance.	A empresa quer terceirizar a manutenção.	2035
fart about	Waste time doing silly things.	Perder tempo fazendo coisas bobas.	The manager was angry because the staff were farting about.	O gerente estava com raiva porque a equipe foi perder tempo fazendo besteiras.	2036
fart around	Waste time doing pointless things.	Perder tempo fazendo coisas inúteis.	We were really bored in the lecture so we started farting around.	Nós estávamos realmente entediados na palestra por isso começamos a enrolar para passar o tempo.	2037
fasten down	Tie something so that it doesn't move.	Amarrar algo para que não se mover.	We fastened it down to keep the wind from blowing it away.	Nós nos prendemos para evitar do vento lançar fora.	2038
fasten on	Give attention to something that confirms your beliefs.	Dar atenção a algo que confirme suas crenças.	They have fastened on the speech as a source of inspiration.	Eles tem se direcionado no discurso como fonte de inspiração.	2039
fasten onto	Follow someone closely, normally when they don't want your company.	Seguir alguém de perto, normalmente quando não querem sua compania.	He fastened onto the minister on his visit and asked him repeatedly about the scandal.	Ele seguiu o ministro em sua visita e perguntou repetidamente sobre o escândalo.	2040
fasten onto	Give attention to something that confirms your beliefs.	Dar atenção a algo que confirme suas crenças.	They fasten onto any figures that they think can support their case.	Eles se prendem em quaisquer figuras que eles acham que podem apoiar seu caso.	2041
fasten up	Close, attach.	Fechar, anexar.	Fasten up your seatbelts.	Aperte seus cintos de segurança.	2042
fathom out	Understand something.	Entender alguma coisa.	I couldn't fathom out what she wanted from me.	Eu não podia entender o que ela queria de mim.	2043
fatten up	Give an animal a lot to eat to make it fat.	Dar muita comida a um animal para ele engordar.	They fatten the cows up before slaughtering them.	Eles engordam as vacas antes de abatê-las.	2044
fawn on	Praise someone in an excessive way to get their favour or something from them.	Elogiar alguém de uma maneira excessiva de obter seu favor ou algo deles.	He's always fawning on his boss to try to get promoted.	Ele está sempre elogiando seu chefe para tentar ser promovido.	2045
fawn over	Praise someone in an excessive way to get their favour or something from them.	Elogiar alguém de uma maneira excessiva de obter seu favor ou algo deles.	She fawned over the inspectors in the hope that they would give her a good grade.	Ela bajulou os inspetores na esperança de que eles lhe dariam uma boa nota.	2046
feed off	Eat a food as part of an animals diet.	Comer um alimento como parte de uma dieta com carnes.	The gecko feeds off mosquitoes and other insects.	A lagartixa se alimenta dos mosquitos e outros insetos.	2047
feed off	Use something to your advantage.	Usar algo para sua vantagem.	He feeds off people's fear of crime to get them to support his proposals.	Ele se alimenta do medo do crime das pessoas para que eles apoiem suas propostas.	2048
feed on	Grow stronger.	Crescer mais forte.	The opposition party's feeding on the government's weaknesses.	A oposição do partido alimenta-se das fraquezas do governo.	2049
feed on	Consume in an animal's diet.	Consumir na dieta com carnes.	The bats feed on insects.	Os morcegos se alimentam de insetos.	2050
feed on	Give someone a particular food.	Dar a alguém uma comida particular.	He feeds his cat on dry food.	Ele alimenta o gato dele com comida seca.	2051
feed up	Give someone a lot of food to restore their health, make them bigger, etc.	Dar a alguém muita comida para restaurar sua saúde, torná-lo maior, etc.	She's been ill for a fortnight so we're feeding her up.	Ela está doente há quinze dias, então estamos alimentando-a.	2052
feel up	Touch sexually, grope.	Tocar sexualmente, tatear.	Someone felt me up in the club as I was trying to get to the bar.	Alguém me tateou no clube enquanto eu estava tentando chegar ao bar.	2053
feel up to	When you have/don’t have the energy and confidence to do something.	Quando você tem / não tem energia e confiança para fazer alguma coisa.	I'm so tired. I don't think I feel up to going out tonight.	Estou tão cansado. Eu não acho que sinto-me capaz de sair esta noite.	2054
feel up to	Feel capable of doing something.	Sentir-se capaz de fazer alguma coisa.	I'm so tired. I don't think I feel up to going out tonight.	Estou tão cansado. Eu não acho que sinto-me capaz de sair esta noite.	2055
feel up to	When you have/don’t have the energy and confidence to do something.	Quando você tem / não tem energia e confiança para fazer alguma coisa.	I'm so tired. I don't think I feel up to going out tonight.	Estou tão cansado. Eu não acho que sinto-me capaz de sair esta noite.	2056
fence in	Enclose an area.	Fechar uma área.	They fenced the whole garden in.	Eles cercaram todo o jardim.	2057
fence off	Enclose an area to keep animals or people out.	Cercar uma área para manter os animais ou as pessoas.	They fenced off one side of the park to keep dogs out.	Eles cercaram um lado do parque para manter os cães para fora.	2058
fend for	Take care of yourself or someone with help from other people.	Cuidar-se ou cuidar de alguém com ajuda de outras pessoas.	The children had to fend for themselves after their parents died.	As crianças tinham que se defender depois que seus pais morreram.	2059
fend off	Resist something successfully.	Resistir a algo com sucesso.	He managed to fend off the criticism in the press.	Ele conseguiu resistir das críticas na imprensa.	2060
fend off	Push an attacker away.	Expulsar um atacante, um intruso, um assaltante.	She fended off the dog when it attacked her.	Ela afastou o cachorro quando a atacou.	2061
ferret around	Search for something by sorting through materials	Procurar algo classificando os materiais			2062
ferret out	Search and discover something.	Pesquisar e descobrir alguma coisa.	The investigation finally managed to ferret out the truth.	A investigação finalmente conseguiu descobrir a verdade.	2063
ferret out	Discover information by searching for it in a determined way	Descobrir informações pesquisando-as de maneira determinada			2064
fess up	Confess, admit something reluctantly.	Confessar, admitir algo relutantemente.	The company fessed up after they were exposed in the newspapers.	A empresa confessou depois deles serem expostos nos jornais.	2065
